Movie_Title,Director_Name,IMDB_score,Actor_1,Actor_2,Actor_3,Gross_Revenue,Budget,Total_Facebook_Likes,Country
Click,Frank Coraci,6.4,Adam Sandler,Cameron Monaghan,Julie Kavner,137340146.0,70000000.0,7000,USA
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,4.3,Jack McBrayer,Sean Hayes,Katt Williams,43575716.0,85000000.0,0,USA
Jumper,Doug Liman,6.1,Kristen Stewart,Hayden Christensen,Tom Hulce,80170146.0,85000000.0,0,USA
Hellboy II: The Golden Army,Guillermo del Toro,7.0,Seth MacFarlane,Iván Kamarás,Brian Steele,75754670.0,85000000.0,3000,USA
Zodiac,David Fincher,7.7,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,33048353.0,65000000.0,12000,USA
The 6th Day,Roger Spottiswoode,5.9,Robert Duvall,Michael Rapaport,Tony Goldwyn,34543701.0,82000000.0,0,USA
Bruce Almighty,Tom Shadyac,6.7,Morgan Freeman,Steve Carell,Lisa Ann Walter,242589580.0,81000000.0,0,USA
The Expendables,Sylvester Stallone,6.5,Jason Statham,Sylvester Stallone,Jet Li,102981571.0,80000000.0,57000,USA
Mission: Impossible,Brian De Palma,7.1,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,180965237.0,80000000.0,0,USA
The Hunger Games,Gary Ross,7.3,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,407999255.0,78000000.0,140000,USA
The Hangover Part II,Todd Phillips,6.5,Bradley Cooper,Mason Lee,Mike Tyson,254455986.0,80000000.0,56000,USA
Batman Returns,Tim Burton,7.0,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,162831698.0,80000000.0,0,USA
Over the Hedge,Tim Johnson,6.8,Bruce Willis,Steve Carell,Catherine O'Hara,155019340.0,80000000.0,0,USA
Lilo & Stitch,Dean DeBlois,7.2,Tia Carrere,Jason Scott Lee,David Ogden Stiers,145771527.0,80000000.0,0,USA
Deep Impact,Mimi Leder,6.1,Morgan Freeman,Jon Favreau,Robert Duvall,140459099.0,75000000.0,0,USA
RED 2,Dean Parisot,6.7,Bruce Willis,Anthony Hopkins,Garrick Hagon,53215979.0,84000000.0,22000,USA
The Longest Yard,Peter Segal,6.4,Adam Sandler,Steve Reevis,Dalip Singh,158115031.0,82000000.0,0,USA
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,4.4,Amy Poehler,Jesse McCartney,Lauren Gottlieb,133103929.0,75000000.0,0,USA
Grown Ups 2,Dennis Dugan,5.4,Steve Buscemi,Adam Sandler,Jon Lovitz,133668525.0,80000000.0,14000,USA
Get Smart,Peter Segal,6.5,Bill Murray,Dwayne Johnson,Anne Hathaway,130313314.0,80000000.0,0,USA
Something's Gotta Give,Nancy Meyers,6.7,Keanu Reeves,Jon Favreau,Paul Michael Glaser,124590960.0,80000000.0,0,USA
Shutter Island,Martin Scorsese,8.1,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,127968405.0,80000000.0,53000,USA
Four Christmases,Seth Gordon,5.6,Jon Favreau,Robert Duvall,Katy Mixon,120136047.0,80000000.0,0,Germany
Robots,Chris Wedge,6.3,Jim Broadbent,Drew Carey,Paula Abdul,128200012.0,75000000.0,0,USA
Face/Off,John Woo,7.3,Nicolas Cage,CCH Pounder,Joan Allen,112225777.0,80000000.0,11000,USA
Bedtime Stories,Adam Shankman,6.1,Adam Sandler,Carmen Electra,Kathryn Joosten,109993847.0,80000000.0,0,USA
Road to Perdition,Sam Mendes,7.7,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,104054514.0,80000000.0,0,USA
Just Go with It,Dennis Dugan,6.4,Adam Sandler,Bailee Madison,Kevin Nealon,103028109.0,80000000.0,19000,USA
Con Air,Simon West,6.8,Steve Buscemi,Monica Potter,Dave Chappelle,101087161.0,75000000.0,0,USA
Eagle Eye,D.J. Caruso,6.6,Rosario Dawson,Ethan Embry,Cameron Boyce,101111837.0,80000000.0,0,USA
Cold Mountain,Anthony Minghella,7.2,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,95632614.0,79000000.0,0,USA
The Book of Eli,Albert Hughes,6.9,Denzel Washington,Mila Kunis,Gary Oldman,94822707.0,80000000.0,20000,USA
Flubber,Les Mayfield,5.2,Robin Williams,Jodi Benson,Sam Lloyd,92969824.0,80000000.0,0,USA
The Haunting,Jan de Bont,4.9,Liam Neeson,Lili Taylor,Virginia Madsen,91188905.0,80000000.0,0,USA
Space Jam,Joe Pytka,6.3,Bill Murray,Wayne Knight,Michael Jordan,90443603.0,80000000.0,0,USA
The Pink Panther,Shawn Levy,5.6,Roger Rees,Henry Czerny,William Abadie,82226474.0,65000000.0,0,USA
The Day the Earth Stood Still,Scott Derrickson,5.5,Keanu Reeves,Jon Hamm,Juan Riedinger,79363785.0,80000000.0,0,USA
Conspiracy Theory,Richard Donner,6.7,Julia Roberts,Alex McArthur,Michael Potts,76081498.0,75000000.0,0,USA
Fury,David Ayer,7.6,Brad Pitt,Logan Lerman,Jim Parrack,85707116.0,68000000.0,82000,USA
Six Days Seven Nights,Ivan Reitman,5.7,Harrison Ford,Anne Heche,Amy Sedaris,74329966.0,70000000.0,0,USA
Yogi Bear,Eric Brevig,4.6,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,100169068.0,80000000.0,0,USA
Spirit: Stallion of the Cimarron,Kelly Asbury,7.0,Matt Damon,Charles Napier,Zahn McClarnon,73215310.0,80000000.0,4000,USA
Zookeeper,Frank Coraci,5.2,Rosario Dawson,Leslie Bibb,Nicholas Turturro,80360866.0,80000000.0,0,USA
Lost in Space,Stephen Hopkins,5.1,Gary Oldman,William Hurt,June Lockhart,69102910.0,80000000.0,0,USA
The Manchurian Candidate,Jonathan Demme,6.6,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,65948711.0,80000000.0,0,USA
Hotel Transylvania 2,Genndy Tartakovsky,6.7,Steve Buscemi,Adam Sandler,Fran Drescher,169692572.0,80000000.0,16000,USA
Fantasia 2000,James Algar,7.3,Quincy Jones,Penn Jillette,Russi Taylor,60507228.0,80000000.0,607,USA
The Time Machine,Simon Wells,5.9,Mark Addy,Alan Young,Josh Stamberg,56684819.0,80000000.0,3000,USA
Mighty Joe Young,Ron Underwood,5.6,Charlize Theron,Mika Boorem,David Paymer,50628009.0,90000000.0,0,USA
Swordfish,Dominic Sena,6.5,Hugh Jackman,Don Cheadle,Sam Shepard,69772969.0,80000000.0,0,USA
The Legend of Zorro,Martin Campbell,5.9,Michael Emerson,Nick Chinlund,Adrian Alonso,45356386.0,75000000.0,951,USA
What Dreams May Come,Vincent Ward,7.0,Robin Williams,Annabella Sciorra,Rosalind Chao,55350897.0,85000000.0,32000,USA
Little Nicky,Steven Brill,5.3,Adam Sandler,Jon Lovitz,Michael McKean,39442871.0,80000000.0,0,USA
The Brothers Grimm,Terry Gilliam,5.9,Matt Damon,Heath Ledger,Mackenzie Crook,37899638.0,88000000.0,0,USA
Mars Attacks!,Tim Burton,6.3,Natalie Portman,Martin Short,Lukas Haas,37754208.0,70000000.0,0,USA
Surrogates,Jonathan Mostow,6.3,Bruce Willis,Devin Ratray,Boris Kodjoe,38542418.0,80000000.0,0,USA
Thirteen Days,Roger Donaldson,7.3,Bruce Greenwood,Jon Foster,Bruce Thomas,34566746.0,80000000.0,0,USA
Daylight,Rob Cohen,5.8,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,32885565.0,80000000.0,0,USA
Walking with Dinosaurs 3D,Barry Cook,5.2,Charlie Rowe,Tiya Sircar,Madison Rothschild,36073232.0,80000000.0,0,USA
Battlefield Earth,Roger Christian,2.4,Richard Tyson,Michael Byrne,John Topor,21471685.0,44000000.0,0,USA
Looney Tunes: Back in Action,Joe Dante,5.7,Brendan Fraser,Jenna Elfman,Heather Locklear,20950820.0,80000000.0,665,Germany
Nine,Rob Marshall,5.8,Fergie,Elio Germano,Andrea Di Stefano,19673424.0,80000000.0,0,USA
Timeline,Richard Donner,5.6,Paul Walker,Gerard Butler,Ethan Embry,19480739.0,80000000.0,0,USA
The Postman,Kevin Costner,6.0,Olivia Williams,Brian Anthony Wilson,Larenz Tate,17593391.0,80000000.0,0,USA
Babe: Pig in the City,George Miller,5.8,Adam Goldberg,Elizabeth Daily,Glenne Headly,18318000.0,80000000.0,964,Australia
The Last Witch Hunter,Breck Eisner,6.0,Vin Diesel,Joseph Gilgun,Lotte Verbeek,27356090.0,90000000.0,21000,USA
Red Planet,Antony Hoffman,5.7,Bob Neill,Val Kilmer,Tom Sizemore,17473245.0,70000000.0,995,USA
Arthur and the Invisibles,Luc Besson,6.0,Mia Farrow,Adam LeFevre,Penny Balfour,15131330.0,86000000.0,941,France
Oceans,Jacques Perrin,7.8,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,19406406.0,40000000.0,0,France
A Sound of Thunder,Peter Hyams,4.2,David Oyelowo,Catherine McCormack,Jemima Rooper,1891821.0,52000000.0,785,UK
Pompeii,Paul W.S. Anderson,5.6,Sasha Roiz,Currie Graham,Dylan Schombing,23219748.0,80000000.0,20000,Canada
A Beautiful Mind,Ron Howard,8.2,Adam Goldberg,Austin Pendleton,Judd Hirsch,170708996.0,58000000.0,29000,USA
The Lion King,Roger Allers,8.5,Matthew Broderick,Nathan Lane,Niketa Calame,422783777.0,45000000.0,17000,USA
Journey 2: The Mysterious Island,Brad Peyton,5.8,Josh Hutcherson,Dwayne Johnson,Kristin Davis,103812241.0,79000000.0,0,USA
Cloudy with a Chance of Meatballs 2,Cody Cameron,6.5,Will Forte,Khamani Griffin,Melissa Sturm,119793567.0,78000000.0,15000,USA
Red Dragon,Brett Ratner,7.2,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson,92930005.0,78000000.0,0,Germany
Hidalgo,Joe Johnston,6.7,J.K. Simmons,Viggo Mortensen,Peter Mensah,67286731.0,100000000.0,0,USA
Jack and Jill,Dennis Dugan,3.4,Al Pacino,Adam Sandler,Tim Meadows,74158157.0,79000000.0,0,USA
2 Fast 2 Furious,John Singleton,5.9,Paul Walker,Cole Hauser,Mo Gallini,127083765.0,76000000.0,0,USA
The Little Prince,Mark Osborne,7.8,Jeff Bridges,James Franco,Mackenzie Foy,1339152.0,81200000.0,31000,France
The Invasion,Oliver Hirschbiegel,5.9,Roger Rees,Veronica Cartwright,Jeremy Northam,15071514.0,80000000.0,0,USA
The Adventures of Rocky & Bullwinkle,Des McAnuff,4.1,Robert De Niro,Janeane Garofalo,Jonathan Winters,26000610.0,76000000.0,413,USA
The Secret Life of Pets,Yarrow Cheney,6.8,Steve Coogan,Eric Stonestreet,Albert Brooks,323505540.0,75000000.0,36000,Japan
The League of Extraordinary Gentlemen,Stephen Norrington,5.8,Jason Flemyng,Max Ryan,Tony Curran,66462600.0,78000000.0,0,USA
Despicable Me 2,Pierre Coffin,7.5,Steve Carell,Miranda Cosgrove,Steve Coogan,368049635.0,76000000.0,56000,USA
Independence Day,Roland Emmerich,6.9,Will Smith,Adam Baldwin,Mary McDonnell,306124059.0,75000000.0,16000,USA
The Lost World: Jurassic Park,Steven Spielberg,6.5,Ariana Richards,Richard Schiff,Vanessa Lee Chester,229074524.0,73000000.0,0,USA
Madagascar,Eric Darnell,6.9,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,193136719.0,75000000.0,0,USA
Children of Men,Alfonso Cuarón,7.9,Charlie Hunnam,Danny Huston,Rita Davies,35286428.0,76000000.0,17000,USA
X-Men,Bryan Singer,7.4,Hugh Jackman,Tyler Mane,Bruce Davison,157299717.0,75000000.0,0,USA
Wanted,Timur Bekmambetov,6.7,Angelina Jolie Pitt,Morgan Freeman,Common,134568845.0,75000000.0,0,USA
The Rock,Michael Bay,7.4,Nicolas Cage,Michael Biehn,Bokeem Woodbine,134006721.0,75000000.0,51000,USA
Ice Age: The Meltdown,Carlos Saldanha,6.9,Denis Leary,Ray Romano,Jay Leno,195329763.0,80000000.0,0,USA
50 First Dates,Peter Segal,6.8,Adam Sandler,Peter Dante,Allen Covert,120776832.0,75000000.0,11000,USA
Hairspray,Adam Shankman,6.7,Jerry Stiller,Elijah Kelley,Paul Dooley,118823091.0,75000000.0,0,USA
Exorcist: The Beginning,Renny Harlin,5.1,James D'Arcy,Alan Ford,Izabella Scorupco,41814863.0,50000000.0,893,USA
Inspector Gadget,David Kellogg,4.1,Matthew Broderick,Rene Auberjonois,Rupert Everett,97360069.0,75000000.0,509,USA
Now You See Me,Louis Leterrier,7.3,Morgan Freeman,Common,Michael Kelly,117698894.0,75000000.0,105000,USA
Grown Ups,Dennis Dugan,6.0,Steve Buscemi,Adam Sandler,Salma Hayek,162001186.0,80000000.0,12000,USA
The Terminal,Steven Spielberg,7.3,Tom Hanks,Chi McBride,Barry Shabaka Henley,77032279.0,60000000.0,16000,USA
Hotel for Dogs,Thor Freudenthal,5.4,Don Cheadle,Kevin Dillon,Yvette Nicole Brown,73023275.0,35000000.0,1000,USA
Vertical Limit,Martin Campbell,5.9,Nicholas Lea,Scott Glenn,Ben Mendelsohn,68473360.0,75000000.0,0,USA
Charlie Wilson's War,Mike Nichols,7.1,Philip Seymour Hoffman,Tom Hanks,Jud Tylor,66636385.0,75000000.0,0,USA
Shark Tale,Bibo Bergeron,6.0,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,160762022.0,75000000.0,0,USA
Dreamgirls,Bill Condon,6.5,Loretta Devine,Jennifer Hudson,Anika Noni Rose,103338338.0,70000000.0,0,USA
Be Cool,F. Gary Gray,5.7,Dwayne Johnson,Christina Milian,Debi Mazar,55808744.0,53000000.0,0,USA
Munich,Steven Spielberg,7.6,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,47379090.0,70000000.0,0,France
Tears of the Sun,Antoine Fuqua,6.6,Bruce Willis,Tom Skerritt,Cole Hauser,43426961.0,70000000.0,0,USA
Killers,Robert Luketic,5.4,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,47000485.0,75000000.0,0,USA
The Man from U.N.C.L.E.,Guy Ritchie,7.3,Henry Cavill,Elizabeth Debicki,Christian Berkel,45434443.0,75000000.0,43000,USA
Spanglish,James L. Brooks,6.5,Adam Sandler,Paz Vega,Sarah Steele,42044321.0,80000000.0,0,USA
Monster House,Gil Kenan,6.6,Steve Buscemi,Jon Heder,Catherine O'Hara,73661010.0,75000000.0,0,USA
Bandits,Barry Levinson,6.6,Bruce Willis,Brían F. O'Byrne,Azura Skye,41523271.0,80000000.0,0,USA
First Knight,Jerry Zucker,5.9,Julia Ormond,Ben Cross,John Gielgud,37600435.0,55000000.0,0,USA
Anna and the King,Andy Tennant,6.7,Bai Ling,Geoffrey Palmer,Randall Duk Kim,39251128.0,75000000.0,0,USA
Immortals,Tarsem Singh,6.1,Henry Cavill,Daniel Sharman,Steve Byers,83503161.0,75000000.0,30000,USA
Hostage,Florent-Emilio Siri,6.6,Jimmy Bennett,Bruce Willis,Ransford Doherty,34636443.0,52000000.0,0,USA
Titan A.E.,Don Bluth,6.6,Matt Damon,Janeane Garofalo,Nathan Lane,22751979.0,75000000.0,0,USA
Hollywood Homicide,Ron Shelton,5.3,Harrison Ford,Bruce Greenwood,Lena Olin,30013346.0,75000000.0,648,USA
Soldier,Paul W.S. Anderson,6.0,Connie Nielsen,Sean Pertwee,Jason Scott Lee,14567883.0,75000000.0,0,UK
Monkeybone,Henry Selick,4.7,Brendan Fraser,Bridget Fonda,Megan Mullally,5409517.0,75000000.0,683,USA
Flight of the Phoenix,John Moore,6.1,Dennis Quaid,Tony Curran,Miranda Otto,21009180.0,45000000.0,1000,USA
Unbreakable,M. Night Shyamalan,7.2,Robin Wright,Bruce Willis,Michael Kelly,94999143.0,75000000.0,0,USA
Minions,Kyle Balda,6.4,Steve Carell,Jon Hamm,Steve Coogan,336029560.0,74000000.0,70000,USA
Sucker Punch,Zack Snyder,6.1,Jon Hamm,Abbie Cornish,Scott Glenn,36381716.0,82000000.0,42000,USA
Snake Eyes,Brian De Palma,5.9,Nicolas Cage,Mike Starr,John Heard,55585389.0,69000000.0,880,USA
Sphere,Barry Levinson,6.0,Peter Coyote,James Pickens Jr.,Huey Lewis,36976367.0,75000000.0,0,USA
The Angry Birds Movie,Clay Kaytis,6.3,Peter Dinklage,Josh Gad,Keegan-Michael Key,107225164.0,73000000.0,14000,USA
Fool's Gold,Andy Tennant,5.6,Matthew McConaughey,Ray Winstone,Alexis Dziena,70224196.0,70000000.0,0,USA
Funny People,Judd Apatow,6.4,Adam Sandler,RZA,Maude Apatow,51814190.0,75000000.0,0,USA
The Kingdom,Peter Berg,7.1,Jennifer Garner,Frances Fisher,Tim McGraw,47456450.0,70000000.0,0,USA
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,6.6,Will Ferrell,Leslie Bibb,Gary Cole,148213377.0,73000000.0,0,USA
Dr. Dolittle 2,Steve Carr,4.6,Raven-Symoné,Jeffrey Jones,Kevin Pollak,112950721.0,72000000.0,266,USA
Braveheart,Mel Gibson,8.4,Mhairi Calvey,Patrick McGoohan,James Robinson,75600000.0,72000000.0,17000,USA
Jarhead,Sam Mendes,7.1,Jake Gyllenhaal,Brian Geraghty,James Morrison,62647540.0,70000000.0,0,Germany
The Simpsons Movie,David Silverman,7.4,Albert Brooks,Yeardley Smith,Marcia Wallace,183132370.0,75000000.0,0,USA
The Majestic,Frank Darabont,6.9,Martin Landau,Hal Holbrook,Jeffrey DeMunn,27796042.0,72000000.0,0,USA
Driven,Renny Harlin,4.5,Sylvester Stallone,Estella Warren,Cristián de la Fuente,32616869.0,72000000.0,886,USA
Two Brothers,Jean-Jacques Annaud,7.1,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,18947630.0,59660000.0,2000,France
The Village,M. Night Shyamalan,6.5,Bryce Dallas Howard,Judy Greer,William Hurt,114195633.0,60000000.0,0,USA
Doctor Dolittle,Betty Thomas,5.3,Oliver Platt,Raven-Symoné,Peter Boyle,144156464.0,71500000.0,694,USA
Signs,M. Night Shyamalan,6.7,Rory Culkin,Merritt Wever,Cherry Jones,227965690.0,72000000.0,0,USA
Shrek 2,Andrew Adamson,7.2,Rupert Everett,Jennifer Saunders,Conrad Vernon,436471036.0,150000000.0,0,USA
Cars,John Lasseter,7.2,John Ratzenberger,Cheech Marin,George Carlin,244052771.0,120000000.0,0,USA
Runaway Bride,Garry Marshall,5.5,Julia Roberts,Christopher Meloni,Hector Elizondo,152149590.0,70000000.0,0,USA
xXx,Rob Cohen,5.8,Vin Diesel,Eve,Leila Arcieri,141204016.0,70000000.0,10000,USA
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,6.0,Tim Conway,Billy West,Eddie Deezen,162495848.0,74000000.0,16000,USA
Ransom,Ron Howard,6.6,Lili Taylor,Delroy Lindo,Rene Russo,136448821.0,80000000.0,1000,USA
Inglourious Basterds,Quentin Tarantino,8.3,Michael Fassbender,Brad Pitt,Christoph Waltz,120523073.0,75000000.0,42000,USA
Hook,Steven Spielberg,6.7,Robin Williams,Julia Roberts,Bob Hoskins,119654900.0,70000000.0,13000,USA
Hercules,Brett Ratner,6.0,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,72660029.0,100000000.0,21000,USA
Die Hard 2,Renny Harlin,7.1,Bruce Willis,John Amos,Franco Nero,117541000.0,70000000.0,0,USA
S.W.A.T.,Clark Johnson,6.0,Jeremy Renner,Josh Charles,LL Cool J,116643346.0,80000000.0,0,USA
Vanilla Sky,Cameron Crowe,6.9,Tom Cruise,Ivana Milicevic,Noah Taylor,100614858.0,68000000.0,0,USA
Lady in the Water,M. Night Shyamalan,5.6,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,42272747.0,70000000.0,0,USA
AVP: Alien vs. Predator,Paul W.S. Anderson,5.6,Sanaa Lathan,Colin Salmon,Raoul Bova,80281096.0,60000000.0,0,USA
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,4.5,Amy Poehler,Bridgit Mendler,Jesse McCartney,219613391.0,75000000.0,2000,USA
We Were Soldiers,Randall Wallace,7.1,Jon Hamm,Marc Blucas,Chris Klein,78120196.0,75000000.0,5000,USA
Olympus Has Fallen,Antoine Fuqua,6.5,Gerard Butler,Morgan Freeman,Radha Mitchell,98895417.0,70000000.0,45000,USA
Star Trek: Insurrection,Jonathan Frakes,6.4,LeVar Burton,Jonathan Frakes,Michael Dorn,70117571.0,58000000.0,1000,USA
Battle Los Angeles,Jonathan Liebesman,5.8,Noel Fisher,Jim Parrack,Ramon Rodriguez,83552429.0,70000000.0,25000,USA
Big Fish,Tim Burton,8.0,Steve Buscemi,Alison Lohman,Albert Finney,66257002.0,70000000.0,26000,USA
Wolf,Mike Nichols,6.2,David Hyde Pierce,Peter Gerety,Ron Rifkin,65012000.0,70000000.0,0,USA
War Horse,Steven Spielberg,7.2,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,79883359.0,66000000.0,28000,USA
The Monuments Men,George Clooney,6.1,Bill Murray,Matt Damon,Bob Balaban,78031620.0,70000000.0,34000,USA
The Abyss,James Cameron,7.6,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,54222000.0,69500000.0,0,USA
Wall Street: Money Never Sleeps,Oliver Stone,6.3,Frank Langella,Austin Pendleton,John Buffalo Mailer,52474616.0,70000000.0,13000,USA
Dracula Untold,Gary Shore,6.3,Dominic Cooper,Sarah Gadon,Zach McGowan,55942830.0,70000000.0,37000,USA
The Siege,Edward Zwick,6.3,Denzel Washington,Bruce Willis,Mark Valley,40932372.0,70000000.0,0,USA
Stardust,Matthew Vaughn,7.7,Henry Cavill,David Kelly,Nathaniel Parker,38345403.0,70000000.0,15000,UK
Seven Years in Tibet,Jean-Jacques Annaud,7.0,Brad Pitt,Mako,Victor Wong,37901509.0,70000000.0,0,USA
The Dilemma,Ron Howard,5.3,Channing Tatum,Clint Howard,Chelcie Ross,48430355.0,70000000.0,0,USA
Bad Company,Joel Schumacher,5.6,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,30157016.0,70000000.0,792,USA
Doom,Andrzej Bartkowiak,5.2,Dwayne Johnson,Ben Daniels,Dexter Fletcher,28031250.0,60000000.0,0,UK
I Spy,Betty Thomas,5.4,Gary Cole,Phill Lewis,Tate Taylor,33105600.0,70000000.0,531,USA
Underworld: Awakening,Måns Mårlind,6.4,Theo James,Stephen Rea,Sandrine Holt,62321039.0,70000000.0,24000,USA
Rock of Ages,Adam Shankman,5.9,James Martin Kelly,Shane Hartline,Celina Beach,38509342.0,75000000.0,33000,USA
Hart's War,Gregory Hoblit,6.3,Bruce Willis,Cole Hauser,Rory Cochrane,19076815.0,60000000.0,997,USA
Killer Elite,Gary McKendry,6.5,Jason Statham,Robert De Niro,Ben Mendelsohn,25093607.0,35000000.0,17000,UK
Rollerball,John McTiernan,3.0,LL Cool J,Chris Klein,Andrew Bryniarski,18990542.0,70000000.0,584,USA
Ballistic: Ecks vs. Sever,Wych Kaosayananda,3.6,Talisa Soto,Sandrine Holt,Gregg Henry,14294842.0,70000000.0,391,USA
Hard Rain,Mikael Salomon,5.8,Morgan Freeman,Minnie Driver,Randy Quaid,19819494.0,70000000.0,815,USA
Osmosis Jones,Bobby Farrelly,6.2,Ron Howard,Brandy Norwood,David Hyde Pierce,13596911.0,70000000.0,2000,USA
Legends of Oz: Dorothy's Return,Will Finn,5.6,Lea Michele,Oliver Platt,Jim Belushi,8460990.0,70000000.0,5000,USA
Blackhat,Michael Mann,5.4,Chris Hemsworth,Archie Kao,Brandon Molale,7097125.0,70000000.0,11000,USA
Sky Captain and the World of Tomorrow,Kerry Conran,6.1,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,37760080.0,70000000.0,0,USA
Basic Instinct 2,Michael Caton-Jones,4.2,Charlotte Rampling,Indira Varma,Neil Maskell,5851188.0,70000000.0,764,UK
Escape Plan,Mikael Håfström,6.7,Sylvester Stallone,50 Cent,Matt Gerald,25121291.0,50000000.0,34000,USA
The Legend of Hercules,Renny Harlin,4.2,Roxanne McKee,Luke Newberry,Gaia Weiss,18821279.0,70000000.0,12000,USA
The Sum of All Fears,Phil Alden Robinson,6.4,Morgan Freeman,Bruce McGill,Philip Baker Hall,118471320.0,68000000.0,0,USA
The Twilight Saga: Eclipse,David Slade,4.9,Robert Pattinson,Kristen Stewart,Anna Kendrick,300523113.0,68000000.0,29000,USA
The Score,Frank Oz,6.8,Robert De Niro,Marlon Brando,Gary Farmer,71069884.0,68000000.0,0,USA
Despicable Me,Pierre Coffin,7.7,Steve Carell,Miranda Cosgrove,Jack McBrayer,251501645.0,69000000.0,31000,USA
Money Train,Joseph Ruben,5.6,Vincent Pastore,Robert Blake,Aida Turturro,35324232.0,68000000.0,617,USA
Ted 2,Seth MacFarlane,6.4,Liam Neeson,Morgan Freeman,Seth MacFarlane,81257500.0,68000000.0,30000,USA
Agora,Alejandro Amenábar,7.2,Max Minghella,Ashraf Barhom,Rupert Evans,617840.0,70000000.0,29000,Spain
Mystery Men,Kinka Usher,6.0,Janeane Garofalo,Wes Studi,Eddie Izzard,29655590.0,65000000.0,0,USA
Hall Pass,Bobby Farrelly,5.9,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,45045037.0,36000000.0,10000,USA
The Insider,Michael Mann,7.9,Al Pacino,Rip Torn,Debi Mazar,28965197.0,68000000.0,0,USA
Body of Lies,Ridley Scott,7.1,Leonardo DiCaprio,Simon McBurney,Michael Gaston,39380442.0,70000000.0,0,USA
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,5.9,Rufus Sewell,Dominic Cooper,Benjamin Walker,37516013.0,69000000.0,98000,USA
Entrapment,Jon Amiel,6.2,Will Patton,Kevin McNally,Maury Chaykin,87704396.0,66000000.0,0,USA
The X Files,Rob Bowman,7.0,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,83892374.0,66000000.0,0,USA
The Last Legion,Doug Lefler,5.4,Colin Firth,Nonso Anozie,Owen Teale,5932060.0,35000000.0,0,UK
Saving Private Ryan,Steven Spielberg,8.6,Tom Hanks,Vin Diesel,Matt Damon,216119491.0,70000000.0,22000,USA
Need for Speed,Scott Waugh,6.5,Rami Malek,Dominic Cooper,Ramon Rodriguez,43568507.0,66000000.0,32000,USA
What Women Want,Nancy Meyers,6.4,Judy Greer,Lisa Edelstein,Loretta Devine,182805123.0,70000000.0,0,USA
Ice Age,Chris Wedge,7.6,Goran Visnjic,Stephen Root,Denis Leary,176387405.0,59000000.0,3000,USA
Dreamcatcher,Lawrence Kasdan,5.5,Morgan Freeman,Michael O'Neill,Reece Thompson,33685268.0,68000000.0,4000,USA
Lincoln,Steven Spielberg,7.4,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,182204440.0,65000000.0,71000,USA
The Matrix,Lana Wachowski,8.7,Keanu Reeves,Marcus Chong,Gloria Foster,171383253.0,63000000.0,25000,USA
Apollo 13,Ron Howard,7.6,Tom Hanks,Miko Hughes,Kathleen Quinlan,172071312.0,62000000.0,5000,USA
Total Recall,Paul Verhoeven,7.5,Ronny Cox,Rachel Ticotin,Marshall Bell,119412921.0,65000000.0,0,USA
The Santa Clause 2,Michael Lembeck,5.5,Judge Reinhold,Aisha Tyler,Eric Lloyd,139225854.0,60000000.0,1000,USA
Les Misérables,Tom Hooper,7.6,Hugh Jackman,Eddie Redmayne,Anne Hathaway,148775460.0,61000000.0,144000,USA
You've Got Mail,Nora Ephron,6.5,Tom Hanks,Jean Stapleton,Dave Chappelle,115731542.0,65000000.0,0,USA
Step Brothers,Adam McKay,6.9,Will Ferrell,Adam Scott,Andrea Savage,100468793.0,65000000.0,0,USA
The Mask of Zorro,Martin Campbell,6.7,Anthony Hopkins,Tony Amendola,Stuart Wilson,93771072.0,65000000.0,0,USA
